epoch,loss
1,0.5847858098323035
2,0.12096877382742449
3,0.06672039081764328
4,0.04807986451037261
5,0.03849874044279881
6,0.033473257058939054
7,0.029758231480493138
8,0.02649586818978658
9,0.024637426780077375
10,0.022961550329565466
11,0.02156232902153725
12,0.020213862162734894
13,0.018890366948005062
14,0.017591456953653304
15,0.016964026200564187
16,0.01603057595061748
17,0.015681255212045303
18,0.014742446770983426
19,0.01428767630304189
20,0.013920416792378565
21,0.0130611903288907
22,0.012555706657201987
23,0.012335346406116882
24,0.012138077776227564
25,0.011190829882105905
26,0.011321463998022903
27,0.01090143991826361
28,0.010593621945635085
29,0.00981716046552487
30,0.009781974213273
31,0.00976402796554325
32,0.009174143045622805
33,0.009275285094859488
34,0.008876495595787539
35,0.008608522566010333
36,0.008303789776904434
37,0.008095663427187321
38,0.007678706138373892
39,0.007637630486150894
40,0.007423347638995124
41,0.00706980127064436
42,0.0069979415254274825
43,0.0069231459236131655
44,0.006756301493187657
45,0.0065103444425314
46,0.006475806668517702
47,0.006457341018429385
48,0.006026418526727923
49,0.006042801658100879
50,0.005581380632359351
51,0.005723684917584128
52,0.005721459161039158
53,0.005386351057507866
54,0.0050377123581972225
55,0.005122301185445133
56,0.005035491979726895
57,0.004966018829001907
58,0.004727508052097709
59,0.004516304976979245
60,0.00457448838487468
61,0.004376342606776698
62,0.004267159218778792
63,0.004166896479003833
64,0.0041482450457231345
65,0.003976320831163582
66,0.003851162450337958
67,0.0037770670475312947
68,0.0038333490288361173
69,0.00359001701108844
70,0.0034835465667944717
71,0.003456695479311617
72,0.0034449638186999903
73,0.003242345631222821
74,0.003253462671139382
75,0.003151837047273001
76,0.003074071863916757
77,0.0029482208975411183
78,0.0029277734650557884
79,0.002889544284388824
80,0.0028359611714968767
81,0.002752807122893264
82,0.0026809504295327606
83,0.0026523486842639377
84,0.0026253756029205604
85,0.0025384037665638556
86,0.0025176064825445546
87,0.00247564447956001
88,0.0024365699774848773
89,0.002399940342295731
90,0.0024221832884868165
91,0.002380158656147296
92,0.0023449775877705204
93,0.0023298975646145006
94,0.0023000025453522067
95,0.0022994853919497253
96,0.0023009662564442966
97,0.0023093836824722887
98,0.0022749223672229413
99,0.002280040823691629
100,0.0022936283356004765
