epoch,loss
1,1.1042093608690344
2,0.9974494939265044
3,0.8710028891978057
4,0.7053302189578181
5,0.5375984622084576
6,0.40102677500766254
7,0.30834210048551147
8,0.25001269384570746
9,0.2118266471054243
10,0.18413321997808374
11,0.16490987655909164
12,0.14917873558790787
13,0.13683003511117853
14,0.12192384121210678
15,0.11451975547749063
16,0.10653422027826309
17,0.09938013035318126
18,0.09282023038553155
19,0.0893669983615046
20,0.08163851531951324
21,0.0796270775406257
22,0.07393552816432455
23,0.07399985906870468
24,0.06989385641139487
25,0.06620958139714987
26,0.06094525511498037
27,0.06317345474077307
28,0.05988713386266128
29,0.05566115159055461
30,0.05318504296567129
31,0.0561220597313798
32,0.05269423758854037
33,0.04981529113391171
34,0.04614232027012369
35,0.046246980681367546
36,0.04443274810910225
37,0.04207830843718156
38,0.043135211357603905
39,0.04132358956596126
40,0.041015669379545296
41,0.039405753593082016
42,0.03760897222420444
43,0.03731049613460251
44,0.037265555042287575
45,0.038043720728677254
46,0.034645969938972725
47,0.03509406826418379
48,0.036353961929031044
49,0.03335067799881748
50,0.0333885903591695
51,0.03337780912609204
52,0.032313792601875634
53,0.03105214707877325
54,0.030146005441961082
55,0.02929317400507305
56,0.028424798713430115
57,0.0292183648308982
58,0.029288316631446713
59,0.028565593306785046
60,0.028358043211957683
61,0.026224956888219585
62,0.026486668654757996
63,0.027151304418626038
64,0.026471212344325108
65,0.025355975912964863
66,0.02508587795107261
67,0.024874575436115265
68,0.02457021039141261
69,0.023806813375457474
70,0.023572145920732746
71,0.02352841409004253
72,0.02270026666962582
73,0.022628701332470646
74,0.022692518308758736
75,0.022405055877955063
76,0.022444714589611343
77,0.02187769398417162
78,0.02222201341520185
79,0.021484975905522057
80,0.021240069895334866
81,0.020717172033112984
82,0.02109707163079925
83,0.02057692959256794
84,0.020481109052248623
85,0.02026929390495238
86,0.019621093393020008
87,0.019631712494984917
88,0.019618013792711754
89,0.019448979474280193
90,0.019149681877182877
91,0.018902599244661953
92,0.019060332490050274
93,0.0187275479345218
94,0.01885410681690859
95,0.019024186403207157
96,0.019067733589073887
97,0.01876284335942372
98,0.01875258115646632
99,0.018837884068489075
100,0.018745402117138325
